"","Estacao","Data","Hora","Precipitacao","TempMaxima","TempMinima","Insolacao","Evaporacao_Piche","Temp_Comp_Media","UR_Media","Vel_Vent_Media","NA"
"1",83309,"01/01/1961",1200,NA,NA,22.4,NA,NA,NA,NA,NA,NA
"2",83309,"02/01/1961",0,NA,32.6,NA,NA,1.9,26.56,79.25,0.666667,NA
"3",83309,"02/01/1961",1200,0.5,NA,22.8,NA,NA,NA,NA,NA,NA
"4",83309,"03/01/1961",0,NA,32.6,NA,NA,2.9,25.5,87,2,NA
"5",83309,"03/01/1961",1200,2.3,NA,23.1,NA,NA,NA,NA,NA,NA
"6",83309,"04/01/1961",0,NA,29.5,NA,NA,2.5,24.58,90,0.666667,NA
"7",83309,"04/01/1961",1200,2.3,NA,22.4,NA,NA,NA,NA,NA,NA
"8",83309,"05/01/1961",0,NA,31.4,NA,NA,1.7,24.48,85,1.333333,NA
"9",83309,"05/01/1961",1200,76.6,NA,20.6,NA,NA,NA,NA,NA,NA
"10",83309,"06/01/1961",0,NA,29.3,NA,NA,2.1,24.94,84.25,2.333333,NA
"11",83309,"06/01/1961",1200,1.9,NA,23,NA,NA,NA,NA,NA,NA
"12",83309,"07/01/1961",0,NA,32.6,NA,NA,2,26.6,78.5,1,NA
"13",83309,"07/01/1961",1200,1.7,NA,22.2,NA,NA,NA,NA,NA,NA
"14",83309,"08/01/1961",0,NA,30.4,NA,NA,2.8,24.68,92.5,0,NA
"15",83309,"08/01/1961",1200,21.3,NA,22.4,NA,NA,NA,NA,NA,NA
"16",83309,"09/01/1961",0,NA,28.4,NA,NA,1.4,24.08,91.25,1.666667,NA
"17",83309,"09/01/1961",1200,18.4,NA,22.6,NA,NA,NA,NA,NA,NA
"18",83309,"10/01/1961",0,NA,30.3,NA,NA,1.1,25.32,89,1.333333,NA
"19",83309,"10/01/1961",1200,42.3,NA,21.7,NA,NA,NA,NA,NA,NA
"20",83309,"11/01/1961",0,NA,30.4,NA,NA,1.9,25.76,87.75,3,NA
"21",83309,"11/01/1961",1200,18.5,NA,23.4,NA,NA,NA,NA,NA,NA
"22",83309,"12/01/1961",0,NA,31.5,NA,NA,1.7,25.82,83,1.666667,NA
"23",83309,"12/01/1961",1200,4.7,NA,23,NA,NA,NA,NA,NA,NA
"24",83309,"13/01/1961",0,NA,27.4,NA,NA,3.1,24.18,86.5,3.333333,NA
"25",83309,"13/01/1961",1200,0,NA,22.5,NA,NA,NA,NA,NA,NA
"26",83309,"14/01/1961",0,NA,30.4,NA,NA,2.4,24.96,82.5,2.666667,NA
"27",83309,"14/01/1961",1200,2.4,NA,22,NA,NA,NA,NA,NA,NA
"28",83309,"15/01/1961",0,NA,33,NA,NA,2.7,25.12,84.5,1.333333,NA
"29",83309,"15/01/1961",1200,1.5,NA,22,NA,NA,NA,NA,NA,NA
"30",83309,"16/01/1961",0,NA,32.4,NA,NA,1.9,25.7,83.25,0.666667,NA
"31",83309,"16/01/1961",1200,6.1,NA,22.3,NA,NA,NA,NA,NA,NA
"32",83309,"17/01/1961",0,NA,31.3,NA,NA,2,25.22,86.75,1.666667,NA
"33",83309,"17/01/1961",1200,8.9,NA,23,NA,NA,NA,NA,NA,NA
"34",83309,"18/01/1961",0,NA,31,NA,NA,2.2,25.32,78,1,NA
"35",83309,"18/01/1961",1200,2.1,NA,22.5,NA,NA,NA,NA,NA,NA
"36",83309,"19/01/1961",0,NA,32.6,NA,NA,3.9,25.12,80.25,1.333333,NA
"37",83309,"19/01/1961",1200,0.2,NA,21,NA,NA,NA,NA,NA,NA
"38",83309,"20/01/1961",0,NA,33.6,NA,NA,3.1,26.64,75.5,1.666667,NA
"39",83309,"20/01/1961",1200,4.4,NA,20.7,NA,NA,NA,NA,NA,NA
"40",83309,"21/01/1961",0,NA,32.5,NA,NA,4.4,26.58,85.75,1.333333,NA
"41",83309,"21/01/1961",1200,0,NA,22,NA,NA,NA,NA,NA,NA
"42",83309,"22/01/1961",0,NA,30.8,NA,NA,2.2,25.16,87.75,2.333333,NA
"43",83309,"22/01/1961",1200,14.5,NA,22,NA,NA,NA,NA,NA,NA
"44",83309,"23/01/1961",0,NA,32,NA,NA,1.8,26.36,80,1.666667,NA
"45",83309,"23/01/1961",1200,0.4,NA,22,NA,NA,NA,NA,NA,NA
"46",83309,"24/01/1961",0,NA,31.2,NA,NA,2.8,25.86,82.25,2.333333,NA
"47",83309,"24/01/1961",1200,0.4,NA,22.7,NA,NA,NA,NA,NA,NA
"48",83309,"25/01/1961",0,NA,28.8,NA,NA,2.2,24.7,90.5,0.666667,NA
"49",83309,"25/01/1961",1200,27.3,NA,22.6,NA,NA,NA,NA,NA,NA
"50",83309,"26/01/1961",0,NA,26.3,NA,NA,1.2,23.68,96.5,1,NA
"51",83309,"26/01/1961",1200,11.4,NA,22.5,NA,NA,NA,NA,NA,NA
"52",83309,"27/01/1961",0,NA,24.9,NA,NA,0.3,21.96,93.75,0,NA
"53",83309,"27/01/1961",1200,61,NA,19.4,NA,NA,NA,NA,NA,NA
"54",83309,"28/01/1961",0,NA,25.5,NA,NA,0.8,22.5,92.5,0.333333,NA
"55",83309,"28/01/1961",1200,27.2,NA,20.8,NA,NA,NA,NA,NA,NA
"56",83309,"29/01/1961",0,NA,27.7,NA,NA,1.1,23.88,87.5,2,NA
"57",83309,"29/01/1961",1200,21.5,NA,21.5,NA,NA,NA,NA,NA,NA
"58",83309,"30/01/1961",0,NA,30.7,NA,NA,2,25.14,88.75,0.666667,NA
"59",83309,"30/01/1961",1200,2.2,NA,22.4,NA,NA,NA,NA,NA,NA
